Timestamp,RA,Dec
01:22.1,226.7639051,64.17342644
01:22.2,226.7639051,64.17342644
01:22.3,227.2854792,64.80955761
01:22.4,227.2854792,64.80955761
01:22.5,227.2854792,64.80955761
01:22.6,227.6808467,65.29457067
01:22.8,228.2310774,65.96708083
01:22.9,228.2310774,65.96708083
01:23.0,228.2310774,65.96708083
01:23.1,228.8758143,66.76065309
01:23.2,228.8758143,66.76065309
01:23.3,229.2706252,67.24247119
01:23.4,229.2706252,67.24247119
01:23.6,229.9469219,68.07163524
01:23.6,229.9469219,68.07163524
01:23.8,229.9469219,68.74173937
01:23.9,230.4932235,68.74173937
01:24.0,230.4932235,68.74173937
01:24.1,230.9148645,69.26391435
01:24.2,230.9148645,69.26391435
01:24.3,231.4314687,69.89920156
01:24.4,231.4314687,69.89920156
01:24.5,231.9701564,70.56138646
01:24.6,231.9701564,70.56138646
01:24.8,232.3587414,71.03923816
01:24.9,232.3587414,71.03923816
01:25.0,232.3587414,71.03923816
01:25.1,232.9888571,71.81454586
01:25.2,232.9888571,71.81454586
01:25.3,233.5213773,72.4727498
01:25.4,233.5213773,72.4727498
01:25.5,234.0161175,73.08428115
01:25.6,234.0161175,73.08428115
01:25.7,234.4354448,73.60403684
01:25.9,234.4354448,73.60403684
01:25.9,234.9460724,74.23769738
01:26.1,234.9460724,74.23769738
01:26.2,235.4546047,74.86740958
01:26.3,235.4546047,74.86740958
01:26.4,235.9525244,75.48839401
01:26.5,235.9525244,75.48839401
01:26.6,236.3365331,75.9677832
01:26.7,236.3365331,75.9677832
01:26.8,236.8483211,76.6045928
01:26.9,236.8483211,76.6045928
01:27.1,237.2601996,77.11957087
01:27.1,237.2601996,77.11957087
01:27.3,237.7564539,77.74448513
01:27.3,237.7564539,77.74448513
01:27.5,238.2590443,78.37808913
01:27.6,238.2590443,78.37808913
01:27.7,238.2590443,78.37808913
01:27.8,238.9101064,79.20231877
01:27.9,238.9101064,79.20231877
01:28.0,239.4025789,79.83037937
01:28.1,239.4025789,79.83037937
01:28.2,239.7816901,80.31919679
01:28.3,239.7816901,80.31919679
01:28.5,240.1788174,80.83094306
